year,state,state_po,totalvotes,dem,other,rep
2004,MINNESOTA,MN,2828387,0.510896847,0.012967815,0.476135338
2004,MISSISSIPPI,MS,1139824,0.401611126,0.008245133,0.590143741
2004,MISSOURI,MO,2731364,0.461004465,0.006033615,0.532961919
2004,MONTANA,MT,450434,0.385650284,0.023668284,0.590681432
2004,NEBRASKA,NE,778186,0.326821608,0.01419198,0.658986412
2004,NEVADA,NV,829587,0.478780405,0.016522679,0.504696915
2004,NEW HAMPSHIRE,NH,678287,0.502016108,0.009640462,0.48834343
2004,NEW JERSEY,NJ,3611691,0.52923409,0.008377793,0.462388117
2004,NEW MEXICO,NM,756304,0.490466796,0.011148956,0.498384248
2004,NEW YORK,NY,7448266,0.561305813,0.061828887,0.3768653
2004,NORTH CAROLINA,NC,3501007,0.435831462,0.003996564,0.560171973
2004,NORTH DAKOTA,ND,312833,0.354988125,0.016398526,0.62861335
2004,OHIO,OH,5627903,0.487066852,0.004792904,0.508140243
2004,OKLAHOMA,OK,1463758,0.344295983,NA,0.655704017
2004,OREGON,OR,1836782,0.51348663,0.014584202,0.471929167
2004,PENNSYLVANIA,PA,5769590,0.509238091,0.006525247,0.484236662
2004,RHODE ISLAND,RI,437134,0.594234262,0.019051366,0.386714371
2004,SOUTH CAROLINA,SC,1617700,0.409018359,0.011162144,0.579819497
2004,SOUTH DAKOTA,SD,388215,0.384436459,0.016452224,0.599111317
2004,TENNESSEE,TN,2437319,0.425252911,0.006756194,0.567990895
2004,TEXAS,TX,7410749,0.382242605,0.006899168,0.610858228
2004,UTAH,UT,927844,0.259956415,0.024684106,0.715359479
2004,VERMONT,VT,312309,0.589374626,0.022612221,0.388013154
2004,VIRGINIA,VA,3195415,0.455259176,0.007421258,0.537319566
2004,WASHINGTON,WA,2859084,0.528211483,0.015385697,0.45640282
2004,WEST VIRGINIA,WV,755792,0.432051411,0.00724141,0.560707179
2004,WISCONSIN,WI,2997007,0.496997171,0.009804115,0.493198715
2004,WYOMING,WY,243861,0.29023091,0.022373401,0.687395689
2008,ALABAMA,AL,2099819,0.387404343,0.009426527,0.60316913
2008,ALASKA,AK,326197,0.378893736,0.026861069,0.594245195
2008,ARIZONA,AZ,2293475,0.451152509,0.012495013,0.536352478
2008,ARKANSAS,AR,1086617,0.388646598,0.024194357,0.587159045
2008,CALIFORNIA,CA,13561900,0.610126383,0.020325028,0.369548588
2008,COLORADO,CO,2401361,0.536602368,0.01632241,0.447075221
2008,CONNECTICUT,CT,1646792,0.605888297,0.01189707,0.382214633
2008,DELAWARE,DE,412412,0.61942669,0.011102975,0.369470335
2008,DISTRICT OF COLUMBIA,DC,265853,0.924571098,0.010103328,0.065325575
2008,FLORIDA,FL,8390744,0.510333053,0.007513756,0.482153192
2008,GEORGIA,GA,3924486,0.469901791,0.008053029,0.52204518
2008,HAWAII,HI,456064,0.714529101,0.021108879,0.264362019
2008,IDAHO,ID,655122,0.360909876,0.023919209,0.615170915
2008,ILLINOIS,IL,5522371,0.619181145,0.013009629,0.367809225
2008,INDIANA,IN,2751054,0.499459116,0.011401812,0.489139072
2008,IOWA,IA,1537123,0.539280201,0.016787206,0.443932594
2008,KANSAS,KS,1235872,0.416519672,0.017357785,0.566122543
2008,KENTUCKY,KY,1826620,0.411681138,0.014328651,0.573990211
2008,LOUISIANA,LA,1960761,0.399329138,0.015043649,0.585627213
2008,MAINE,ME,731163,0.577057373,0.019102444,0.403840183
2008,MARYLAND,MD,2631596,0.619193448,0.016061356,0.364745196
2008,MASSACHUSETTS,MA,3102995,0.613631991,0.029018416,0.357349593
2008,MICHIGAN,MI,5001596,0.574332473,0.01607047,0.409597057
2008,MINNESOTA,MN,2910369,0.540602927,0.021167763,0.43822931
2008,MISSISSIPPI,MS,1289865,0.430015544,0.008222566,0.56176189
2008,MISSOURI,MO,2925205,0.492926479,0.012812777,0.494260744
2008,MONTANA,MT,490109,0.472684648,0.031990843,0.495324509
2008,NEBRASKA,NE,801281,0.415982658,0.018698809,0.565318534
2008,NEVADA,NV,967848,0.551466759,0.02199209,0.426541151
2008,NEW HAMPSHIRE,NH,710970,0.541268971,0.013516745,0.445214285
2008,NEW JERSEY,NJ,3868237,0.572721372,0.01023929,0.417039339
2008,NEW MEXICO,NM,830158,0.569074803,0.013134849,0.417790348
2008,NEW YORK,NY,7722019,0.601569615,0.085258013,0.313172371
2008,NORTH CAROLINA,NC,4310851,0.497036664,0.00921535,0.493747986
2008,NORTH DAKOTA,ND,316621,0.4462054,0.021293597,0.532501003
2008,OHIO,OH,5708350,0.515042701,0.015851516,0.469105784
2008,OKLAHOMA,OK,1462661,0.343549189,NA,0.656450811
2008,OREGON,OR,1827864,0.567488063,0.028502121,0.404009817
2008,PENNSYLVANIA,PA,6013272,0.54485528,0.013474195,0.441670525
2008,RHODE ISLAND,RI,471766,0.628640046,0.020781489,0.350578465
2008,SOUTH CAROLINA,SC,1920969,0.4489656,0.01229796,0.53873644
2008,SOUTH DAKOTA,SD,381975,0.447474311,0.020935925,0.531589764
2008,TENNESSEE,TN,2599749,0.418285381,0.012745077,0.568969543
2008,TEXAS,TX,8077795,0.436831214,0.008645181,0.554523605
2008,UTAH,UT,952370,0.344057457,0.030103846,0.625838697
2008,VERMONT,VT,325046,0.674556832,0.020950881,0.304492287
2008,VIRGINIA,VA,3723260,0.526294699,0.010400294,0.463305007
2008,WASHINGTON,WA,3036878,0.576528922,0.018708028,0.404763049
2008,WEST VIRGINIA,WV,713451,0.425897504,0.016999065,0.557103431
2008,WISCONSIN,WI,2983417,0.562177865,0.01468551,0.423136625
2008,WYOMING,WY,254904,0.325094938,0.027767316,0.647137746
2012,ALABAMA,AL,2074338,0.383590331,0.010951446,0.605458223
