pcon,share_conservative_poll,share_conservative_poll_unweighted,share_labor_poll_unweighted,share_labor_poll,N,share_joint_poll,share_joint_poll_unweighted,sd_poll,share_conservative,share_labor,country_name,region_name,share_joint,year
chesterfield,0.4284548172317209,0.4878048780487805,0.5121951219512195,0.571545182768279,41,0.5541837840767643,0.6212121212121212,0.07728333787271127,0.38812402450672073,0.6118759754932793,England,East Midlands,42927,2017
chichester,0.7270424613119106,0.7560975609756098,0.2439024390243902,0.27295753868808936,41,0.7043292785003819,0.7592592592592593,0.06957216305556403,0.728758368221993,0.271241631778007,England,South East,49443,2017
chingford and woodford green,0.5015433580755716,0.5384615384615385,0.46153846153846156,0.4984566419244283,26,0.5997944020493451,0.6842105263157894,0.09805760042833744,0.5278858031751842,0.47211419682481587,England,London,43714,2017
chippenham,0.7102995919169586,0.7333333333333334,0.2666666666666667,0.2897004080830415,30,0.5550545185049038,0.5769230769230769,0.08281990131998482,0.7356421899630614,0.2643578100369386,England,South West,42503,2017
chipping barnet,0.5652120603952107,0.5625,0.4375,0.4347879396047894,64,0.7210402588653774,0.7619047619047619,0.06196614337420115,0.5034604450544065,0.49653955494559354,England,London,51005,2017
chorley,0.3889863998184066,0.4666666666666667,0.5333333333333333,0.6110136001815933,45,0.8197681335654339,0.8035714285714286,0.07267522588348817,0.43041609544629295,0.5695839045537071,England,North West,53978,2017
christchurch,0.8101666777456831,0.7999999999999999,0.19999999999999998,0.18983332225431693,30,0.733255324490203,0.6976744186046512,0.07159996089761632,0.7778930866214754,0.2221069133785246,England,South West,45289,2017
cities of london and westminster,0.6287919909286404,0.52,0.48,0.37120800907135965,25,0.5743340737674433,0.6097560975609756,0.09662559144918845,0.5478972673604772,0.45210273263952283,England,London,32862,2017
city of chester,0.3781512239533782,0.3243243243243243,0.6756756756756757,0.6218487760466217,37,0.8611177470778737,0.8409090909090909,0.07972128404058396,0.41638418079096046,0.5836158192090396,England,North West,54870,2017
city of durham,0.42402950386472943,0.44680851063829785,0.553191489361702,0.5759704961352705,47,0.7029081787575084,0.7230769230769232,0.07208571784606257,0.34987858183584264,0.6501214181641574,England,North East,41180,2017
clacton,0.6694364639857223,0.6808510638297872,0.3191489361702127,0.3305635360142778,47,0.6552902187108613,0.7121212121212122,0.06861723694369772,0.7069885442276508,0.2930114557723492,England,East,38234,2017
cleethorpes,0.6313932154882977,0.6428571428571429,0.35714285714285715,0.36860678451170226,42,0.6112327279113802,0.6885245901639344,0.07444010422634872,0.6175353736268704,0.3824646263731296,England,Yorkshire and The Humber,44242,2017
colchester,0.6671260229854263,0.6470588235294118,0.35294117647058826,0.33287397701457366,34,0.5177956526476768,0.5573770491803278,0.08081731258197582,0.56532345292615,0.4346765470738499,England,East,43453,2017
colne valley,0.40957245923006963,0.4878048780487805,0.5121951219512194,0.5904275407699304,41,0.6960676924519594,0.8200000000000001,0.07679920919789483,0.4919342042629714,0.5080657957370286,England,Yorkshire and The Humber,56721,2017
congleton,0.587234498045155,0.6521739130434783,0.3478260869565218,0.41276550195484496,46,0.7103835436417587,0.7796610169491525,0.07259029494822142,0.6236163084579064,0.3763836915420936,England,North West,51041,2017
copeland,0.4369499554142722,0.5172413793103449,0.4827586206896552,0.5630500445857278,29,0.8270979702557868,0.8529411764705882,0.09210651477908377,0.5209626753073289,0.47903732469267113,England,North West,40429,2017
corby,0.5133693090265931,0.4468085106382979,0.5531914893617021,0.486630690973407,47,0.7324359708814605,0.8245614035087718,0.07290641940859492,0.5238568235836674,0.47614317641633264,England,East Midlands,56378,2017
coventry north east,0.5502137142716147,0.5416666666666666,0.4583333333333333,0.44978628572838536,24,0.6355750042675601,0.6857142857142857,0.10154608619141209,0.32058132571744435,0.6794186742825556,England,West Midlands,43418,2017
coventry north west,0.61708169520913,0.6097560975609756,0.39024390243902435,0.3829183047908699,41,0.7495621320332853,0.803921568627451,0.07591585146452816,0.4051052910989206,0.5948947089010794,England,West Midlands,45208,2017
coventry south,0.389339567794643,0.4,0.6,0.6106604322053569,35,0.7406199940247682,0.7446808510638298,0.08241953110140193,0.4092828930846328,0.5907171069153673,England,West Midlands,43801,2017
crawley,0.6722802552726668,0.6285714285714286,0.37142857142857144,0.32771974472733323,35,0.7656588970538163,0.7954545454545454,0.07934004819098699,0.5253848538072114,0.4746151461927885,England,South East,48395,2017
crewe and nantwich,0.44264085607765696,0.5526315789473684,0.4473684210526315,0.5573591439223431,38,0.6541541384948011,0.7450980392156863,0.08057522288103733,0.49953675108091417,0.5004632489190859,England,North West,51808,2017
